# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
1161	un	381514	0.00621	-1.00000	0.00086	-1.00000	0.63144	-1.00000
1165	un	383087	-0.02378	-1.00000	-0.02229	-1.00000	0.66417	-1.00000
1166	un	383975	0.36712	-1.00000	0.15925	-1.00000	0.12907	-1.00000
1187	un	388836	0.28049	-1.00000	0.02397	-1.00000	0.52557	-1.00000
1197	un	393799	-0.04886	-1.00000	-0.02854	-1.00000	-nan	-1.00000
1198	un	394376	-0.01131	-1.00000	-0.00278	-1.00000	-0.00858	-1.00000
1202	un	395169	0.04347	-1.00000	0.00466	-1.00000	0.49794	-1.00000
1206	un	396827	0.05750	-1.00000	0.00954	-1.00000	0.49801	-1.00000
1211	un	397672	-0.00027	-1.00000	-0.00002	-1.00000	-0.00611	-1.00000
1216	un	399290	0.08831	-1.00000	0.00943	-1.00000	-0.00041	-1.00000
1222	un	401639	-0.01558	-1.00000	-0.00156	-1.00000	0.00105	-1.00000
1239	un	407204	-0.04437	-1.00000	-0.00683	-1.00000	0.50607	-1.00000
1250	un	409439	-0.03179	-1.00000	-0.02448	-1.00000	0.55672	-1.00000
1254	un	411928	0.01594	-1.00000	0.00243	-1.00000	0.51343	-1.00000
1256	un	412764	0.04348	-1.00000	0.00327	-1.00000	0.00390	-1.00000
1273	un	418526	-0.02346	-1.00000	-0.01963	-1.00000	-nan	-1.00000
1277	un	419992	-0.03617	-1.00000	-0.00755	-1.00000	0.56539	-1.00000
1297	un	424912	-0.04665	-1.00000	-0.00354	-1.00000	-0.00015	-1.00000
1301	un	425736	0.00473	-1.00000	0.00076	-1.00000	0.52784	-1.00000
